,centroid,clusters
690,contained inside,"contained inside, maintained despite"
691,conventional theory,"conventional bi-metric, conventional energy, conventional stress-energy, conventional theory, conventional thermodynamics"
692,cosmological constantnegative,"cosmological constantdiscrete, cosmological constantnegative, cosmological constantprinciple, cosmological modelsnegative"
693,creation involving,"attraction involving, configurations involving, creation favorable, creation involving, description involves, equations involving, fluctuations involving, formulation involving, interaction involving, operation involving, phenomena involving, phenomenon involving, predictions involving, transitions involving, vertex involving"
694,creation quantum,"conceptionquantum, conventional quantum, creation Currently, creation quantum, dilationquantum, directionquantum, fermion quantum, gravitonsquantum, operations quantum, seefermion quantum, uncertain quantum"
695,creationsecond,"conditionssecond, creation event, creationenergy, creationsecond, freedomsecond, horizonsecond, informationsecond, motionsecond, neutrons bound, pair creationsecond, propagationsecond, radiationsecond, reductionsecond, regions devoid, violationsecond"
696,current interpretation,"Dirac's interpretation, appropriate interpretation, consistent interpretation, current interpretation, discussed interpretation, incorrect interpretation, proposed interpretation"
697,current quantum,"Current quantum, current programs, current quantum, momentaquantum, momentumquantum"
698,definite energy,"definite energy, definite meaning, definite quantity, dominant energy, radiate energy, redefined energy"
699,density observed,"densities encountered, density averaged, density measured, density observed, easily disposed, outside observer, spin observed, tendency observed, write observer"
700,direction associated,"action associated, direction associated, direction essentially, direction opposite, distinctions associated, distribution associated"
701,directly observed,"difference observed, directly connected, directly discernible, directly measuring, directly observable, directly observed, directly observing, directly related, effects observed, field observed, indirectly relevant, strictly obeyed"
702,discuss,"discuss, discuss arose, discussed, discussed map, discussing, discussion, disrupt, finally discuss"
703,discussed requirement,"absolute requirement, decisive requirement, discussed equivalence, discussed requirement, discussed requirements, motivated requirement, perceived requirement"
704,distinct degrees,"discrete degrees, distant galaxies, distinct categories, distinct degree, distinct degrees, distinct metric, distinct motives, distinct phenomena, distinct problem, remaining degrees"
705,distinguished,"distinguish, distinguish backward, distinguish time-reversed, distinguished, distinguishes, distinguishing"
706,distribution surrounding,"distributed throughout, distribution extending, distribution surrounding"
707,distributionsecond,"contributionsequations, disintegrationsecond, distribution conveyed, distribution depends, distribution seehomogeneous, distributionlocal, distributionsecond, distributionslocal, distributionvoids, initial distributionsecond, mass reductionsecond"
708,dynamic equilibrium,"dynamic equilibrium, lawdynamic equilibrium, sourcedynamic equilibrium, static equilibrium, thermodynamic equilibrium"
709,earlier publicationsgeneral,"earlier interpretationsgeneral, earlier publicationsgeneral, theory justificationsgeneral"
710,effectively allows,"collectively denote, effectively absorb, effectively allow, effectively allowed, effectively allows, effectively amounts, effectively balance, effectively balances, effectively grows, effectively ignore, effectively implies, effectively null, effectively places, effectively shown"
711,effectively explain,"effectively experience, effectively explain, effectively explains, intuitively explainable"
712,electric dipole,"electric dipole, electrical dipole"
713,encompassing,"embarrassing, encompass, encompasses, encompassing, encompassing domain, encouraging, incorporating, sphere encompassing"
714,encounter,"chance encounter, encounter, encountered, encourages, unaccounted"
715,energies invariant,"charge invariant, charges invariant, energies invariant, enormously important, everything invariant, fermions invariant, generally covariant, generally invariant, intrinsic invariable, involved invariant"
716,energiesdiscrete symmetry,"antiparticlesdiscrete symmetry, chargesdiscrete symmetry, constraintdiscrete symmetry, coordinatesdiscrete symmetry, dependenciesdiscrete symmetry, energiesdiscrete symmetry, energydiscrete symmetry, entropydiscrete symmetry, handednessdiscrete symmetry, intervalsdiscrete symmetry, propertiesdiscrete symmetry, reversalsdiscrete symmetry, theoremdiscrete symmetry, universediscrete symmetry, viewpointdiscrete symmetry"
717,energy conditions,"altered condition, boundary conditions, energy collision, energy condition, energy conditions, energy configurations, energy consisting, energy contribution, energy contributions, energy-momentum tensors, exist conditions, extreme conditions, freedom condition, normal conditions, ordinary conditions, proper conditions, unusual conditions"
718,energy input,"energy input, energy kinetic, energy output"
719,energy phenomena,"century philosophers, energy phenomena, energy phenomenon, observe phenomena, observing phenomena, occur phenomena, ordinary phenomena, self-contradictory phenomena, strange phenomena"
720,equilibrium thermodynamicssecond,"equilibrium thermodynamicsnegative, equilibrium thermodynamicssecond, near-equilibrium thermodynamicssecond"
721,equilibriumstatistical mechanics,"equilibriumstatistical mechanics, equilibriumstatistical mechanicsblack, thermodynamicsstatistical mechanics"
722,equivalence relativized,"equivalence described, equivalence relativized, equivalence relativizedgeneral, equivalence relativizednegative"
723,essential aspects,"celestial objects, essential aspect, essential aspects, essential concepts, essential implication, essential role, multiple aspects, narrative aspects, technical aspects"
724,exact microscopic,"exact microscopic, explain microscopic, relevant microscopic, whatever microscopic"
725,exchange symmetrygeneral,"exchange symmetryconstraint, exchange symmetrydiscrete, exchange symmetrygeneral, exchange symmetrynegative, exchange symmetryvacuum"
726,expanding universe,"entire universe, expanding sufficiently, expanding universe, extending throughout, isotropic universe"
727,expect negative,"affect negative, attract negative, exert attractive, exist negative, expect negative, expect positive, expected behavior, experiment withnegative, experimentnegative, unexpected benefits"
728,experimentgravitational,"antimatter experimentgravitational, apparent gravitational, dependent gravitational, expected gravitational, experience gravitation, experiment withgravitational, experimentgravitational, extreme gravitational"
729,facilitate,"facilitate, facilitate future, facilitates, facilitating, greatly facilitate"
730,failure,"Failure, failed hole, failure, fall frame, figure, figures"
731,falling positive,"adding positive, affecting positive, allowing spacetime, calculating transition, carrying positive, falling positive, feeling inherited, filled positive, helping resolve, infalling positive, influencing positive, pulling positive, smaller positive"
732,favorable conditionsmatter,"favorable conditionsgravitational, favorable conditionsmatter, favorable conditionsnegative, favorable conditionssecond"
733,field produced,"field produced, field provides, fieldstrong nuclear, formalism produce, freely produced, levels predicted, photons produced, process produce, routinely produced, simply reproduce, void produced"
734,field responsible,"effectively responsible, else responsible, field responsible, imbalance responsible, irresponsible, likely responsible, source responsible"
735,fixed parameter,"associated parameter, binary parameter, binary parameters, fixed background, fixed parameter, fixed variable, free parameter, free parameters, ignored altogether, single parameter"
736,fluctuationsquantum,"energy fluctuationsquantum, fluctuating quantum, fluctuating systems, fluctuating vacuum, fluctuationsmatter, fluctuationsquantum, fluctuationsvacuum"
737,formal,"Normally, abnormally, forcelocal, formal, formalism, formally, forms, formula, normal, normally, thermal, wormhole"
738,freedom related,"freedom Feynman's, freedom encoded, freedom needed, freedom related, freedom relationally, freedom relativity, freedomBekenstein, problems related"
739,fundamental lopsidedness,"characterized lopsidedness, fundamental lopsidedness, fundamentally lopsided"
740,fundamental viewpoint,"fundamental operations, fundamental time-symmetric, fundamental viewpoint"
741,generalizes relativity,"generalize relativity, generalizes relativity, predates relativity"
742,gravitation discrete,"conjugation Cdiscrete, gravitation discrete, gravitation distinctively, gravitation dominates, gravitation indicate, gravitation microscopic, gravitation-related discrete, gravitationdiscrete"
743,gravitational forcegeneral,"additional variablesgeneral, gravitation gravitonsgeneral, gravitational fieldgeneral, gravitational forcegeneral, gravitational forceinertial, gravitational forcematerial, gravitational forceperpetual, variational principlegeneral"
744,gravitationally repel,"gravitationally influenced, gravitationally repel, gravitationally repelled, gravitationally repelling"
745,guarantees,"guarantee, guaranteed, guarantees, guarantees explicit"
746,hole containing,"field maintaining, filled continuum, hole Hawking, hole containing, hole contains, hole harboring, nucleus containing, surface containing"
747,hole effectively,"bodies effectively, context effectively, energy effectively, formed exclusively, freedom effectively, hole effectively, indice respectively, lines effectively, masses respectively, problem effectively, space effectively, theory effectively, void effectively"
748,hole thermodynamicsnegative,"anti-thermodynamic behavior, hole thermodynamicsnegative, hole thermodynamicsquantum, hole thermodynamicsstatistical, hole thermodynamicsunification, thermodynamicsnegative"
749,imaginary,"exact binary, imaginary, imaginary hollow, imaginary sphere, imagine, using binary"
750,implicit assumption,"accepted assumptions, crucial assumption, explicit assumption, implicit assumption, implicit assumptions, incorrect assumption, priori assumption, revised assumption, specific assumptions"
751,implicitly assumed,"Implicitly assumed, correctly assumed, empirically ruled, explicitly assumed, implicitly assume, implicitly assumed, implicitly assuming, implicitly involved"
752,important consequences,"enormous consequences, important categories, important consequence, important consequences, important differences, interesting consequences, remarkable consequences, secondary consequence, significant consequences, straightforward consequences, unpredictable consequences"
753,interaction constraintnegative,"interaction constraintgravitational, interaction constraintnegative, interaction constrainttime, propagation constraintnegative, transition constraintnegative"
754,intervals produced,"energies predicted, intervals experienced, intervals produced, intervals travelled, intervals traversed"
755,intrinsic property,"intrinsic aspects, intrinsic property, invariant property"
756,invariably directed,"invariable feature, invariably directed, invariably reaches, invariably reversed, invariant direction, irretrievably altered, oppositely directed"
757,irreversible processes,"irreversible processes, irreversible processesblack, irreversible processessecond, time-reverse processes, undesirable processes"
758,irreversibly,"evolve irreversibly, evolving irreversibly, irreconcilably, irretrievably, irreversibility, irreversible, irreversibly, visible ensemble"
759,issues concerning,"assumed concerning, bits concerning, discussion concerning, doubts concerning, essays concerning, granted concerning, implies coinciding, insight concerning, issues concerning, learned concerning, magnitude concerning, measure concerning, model concerning, provided concerning"
760,kinematic representationtime,"kinematic representation, kinematic representationdiscrete, kinematic representationtime"
761,larger mass,"charged quarks, larger amount, larger event, larger mass, larger masses, larger pressure, larger region, larger sizes, larger systems, nearby mass, skewed mass, smaller mass"
762,lose negative,"bosonnegative, larger negative, lose negative, lower negative, mass negative, mere intuitive, opposite negative, remove negative, superposed negative, systemnegative, systemsnegative, unseen negative"
763,macroscopic description,"macroscopic description, microscopic distinctions, microscopic distribution"
764,mass remains,"decay remains, mass Newton's, mass attracting, mass decreases, mass polarity, mass producing, mass properties, mass remain, mass remains, mass responds, mass reverses, massive amounts, massive ones, signs remains, usually remains"
765,mathematical requirement,"essential requirement, mathematical requirement, mathematical requirementgeneral, mathematical requirements, mathematically equivalent"
766,matter-antimatter asymmetrytime,"matter-antimatter asymmetry, matter-antimatter asymmetryblack, matter-antimatter asymmetrydiscrete, matter-antimatter asymmetrynegative, matter-antimatter asymmetrytime"
767,modified measure,"combined measure, derived measure, modified measure, modified version"
768,momentum relative,"momenta remain, momentum Despite, momentum invariably, momentum multiplied, momentum opposite, momentum related, momentum relative, momentum reverses, momentumnegative, momentumrelativistic, oriented relative, somewhat relativized"
769,motion argument,"additional argument, imagine arrangements, logical arguments, maintain agreement, mentioned argument, motion argument, motion problemenergy, provide arguments, strongest argument"
770,negative depending,"features dependent, measure depending, negative depending, relativity Regarding, repulsive depending"
771,observed despite,"content despite, increases despite, level despite, observe despite, observed absence, observed breaking, observed despite, observed inside, observed quantities, observed regardless, observed response, observed velocity, observer measuring, observer outside, observers measure, observers respectively, obtained despite, rejected despite, reversed despite, satisfied despite, unobserved substructure, zero despite"
772,observer dependence,"observe underdense, observed interferences, observer dependence, observer dependent, observer determining, unaccounted dependencies"
773,operationconstraint,"accelerationconstraint, combined operationsconstraint, directionconstraint, directionsconstraint, observational constraints, operationconstraint, operationsconstraint, propagation constraint, propagationconstraint, propertiesconstraint, relativityconstraint, relativizedconstraint, self-determinationconstraint, solutionconstraint, sphere analogyconstraint, violationconstraint"
774,ordinary electron,"ordinarily expected, ordinary electron, ordinary reference"
775,particle energiesdiscrete,"particle chargesdiscrete, particle energiesBekenstein, particle energiesblack, particle energiesdiscrete, particle energiesquantum, particle energiesrest, particle handednessdiscrete, spacetime reversaldiscrete"
776,particle inside,"available online, particle Despite, particle identical, particle inside, particle physics, particles inside, particular instance"
777,particle level,"basic level, particle based, particle begins, particle goes, particle level, particle merely, particle moves, particle pairs, particle reversed, particle reverses, particle theory, particles allows, particles cancel, particles fall, particles literally, particles repel, perfect level, superficial level"
778,particles located,"apparatuses located, galaxies located, magnitude located, particle bifurcates, particle located, particles apparent, particles attracted, particles created, particles located, particles toward, particles trapped"
779,philosophical,"clearly philosophical, philosophers, philosophical, philosophical essays, philosophy"
780,positive electric,"Instead electric, dipoleneutron's electric, external electric, momentneutron's electric, opposite electric, opposite electrical, perceived metric, positive electric, positive electrical"
781,practical limitations,"paradoxical situations, practical applications, practical conventions, practical limitation, practical limitations"
782,preceding argument,"preceding argument, preceding arguments, preceding paragraphs, precise adjustment"
783,preceding conclusion,"preceding analysis, preceding conclusion, preceding conclusions, preceding discussion, troubling conclusion"
784,precise elementary,"area seeelementary, current elementary, ignored elementary, involve elementary, per elementary, precise element, precise elementary, seeelementary, single elementary, specific elementary"
785,principles enunciated,"principles enunciated, principles identified"
786,process transformed,"freedom transformed, parameters transformed, process transformed, processes transformed"
787,propertiestime,"propagationtime, properly estimating, properties except, properties obeyed, properties otherwise, properties relative, propertiesblack, propertiesdiscrete, propertiesgeneral, propertiesinertial, propertiestime, propertytime"
788,proposed solution,"profound origin, proper resolution, propose solutions, proposed allows, proposed application, proposed approach, proposed bi-metric, proposed completely, proposed equation, proposed equations, proposed framework, proposed integration, proposed models, proposed solution, provide solutions"
789,real gravitational,"allow gravitational, areagravitational, elegant gravitational, fieldgravitational, hole gravitational, larger gravitational, local gravitational, makes gravitation, mass gravitational, mutual gravitational, net gravitational, normal gravitational, obtain gravitational, real gravitational, repulsive gravitational, shellgravitational, spacegravitational, surface areagravitational, surface gravitational, total gravitational, weak gravitational"
790,reductionblack,"action Mblack, creationblack, educational approach, mass reductionblack, radiationblack, redshiftblack, reductionblack, repulsionblack"
791,relativistic frame,"experimentrelativistic frame, momentumrelativistic frame, relativistic frame, relativistic framework, relativistic imperatives, relativistic invariance, relativistic quantum, relativistic treatment"
792,relevant discrete,"preserving discrete, relevant degree, relevant discrete, relevant features, relevant parameters, relevant reference, relevant variables, viewpointdiscrete"
793,respective opposite,"respective discrete, respective opposite, respective same-energy-sign, superposed opposite"
794,respond normally,"react abnormally, respond anomalously, respond differently, respond normally, responds perversely"
795,retain,"Newtonian, ascertain, detail, details, domain, net gain, obtain, regain, remain, restrain, retain, retains, uncertain"
796,reversed twice,"released outside, releasing twice, reverse space, reverse twice, reversed angular, reversed charge, reversed spin, reversed twice, reversed value"
797,similar magnitude,"final magnitude, maximum magnitude, overall magnitude, similar magnitude, similar quantities"
798,singularities,"diagonal lines, regularities, sign acquires, similarities, singularities, singularity, singularitydiscrete, singularityrest, singularitytime"
799,spacetime curvature,"spacetime curvature, spacetime reversaltime, spacetime structure, spacetime trajectory"
800,statediscrete,"Planck areadiscrete, antimatterdiscrete, chargediscrete, chargesdiscrete, constantdiscrete, constraintdiscrete, matterdiscrete, phasediscrete, scalediscrete, stable statediscrete, statediscrete, surfacediscrete, timediscrete"
801,statediscrete symmetry,"antimatterdiscrete symmetry, chargediscrete symmetry, constantdiscrete symmetry, matterdiscrete symmetry, phasediscrete symmetry, scalediscrete symmetry, singularitydiscrete symmetry, statediscrete symmetry, surfacediscrete symmetry, timediscrete symmetry"
802,successfully,"successful, successful venture, successfully, successfully achieved, unsuccessfully"
803,surface area,"surface area, surface areablack, surface areaquantum, surface based, surface smaller"
804,temperaturesnegative,"hole temperaturenegative, symmetriesnegative, temperaturenegative, temperatures decrease, temperatures energy, temperatures infinite, temperatures negative, temperaturesnegative"
805,tensor related,"density related, distances related, entropy related, tensor averaged, tensor related, tensor replaces"
806,tensorsvacuum energy,"constantvacuum energy, continuumvacuum energy, densitiesvacuum energy, dynamicsvacuum energy, equationsvacuum energy, factorsvacuum energy, fluctuationsvacuum energy, processesvacuum energy, repulsionvacuum energy, systemsvacuum energy, tensorsvacuum decay, tensorsvacuum energy, termsvacuum energy, theoriesvacuum energy, theoryvacuum energy"
807,theoretically motivated,"empirically motivated, experimentally motivated, observationally motivated, rationally motivated, theoretically inevitable, theoretically meaningful, theoretically motivated, theoretically problematic, theoretically unavoidable"
808,theorydiscrete,"CPT theoremdiscrete, TheoryChristophe, energydiscrete, entropydiscrete, field theorydiscrete, theoremdiscrete, theory average, theory except, theorydiscrete"
809,theorygravitational,"field theorygravitational, mattergravitational, tensorsgravitational, theory additional, theory gravitational, theory variational, theorygravitational"
810,tied,"guided, led, lies, lived, mixed, studied, tend, third, tied, tried, view"
811,traditional conceptiontime,"traditional conceptionconstraint, traditional conceptiondiscrete, traditional conceptionquantum, traditional conceptiontime, traditional conceptnegative, traditional concepttime, traditional particle-antiparticle"
812,traditionally assumed,"traditionally appeared, traditionally associated, traditionally assume, traditionally assumed, traditionally believed, traditionally expected, traditionally favored"
813,unavoidable conclusion,"unavoidable conclusion, unavoidable consequence, unavoidable consistency, unavoidable constraint, unavoidable counterpart, unavoidable justification, unavoidable similarity"
814,unified,"grand unified, justified, justifies, modern unified, modified, shifted, unified, unified field, unique, unjustified, unveiled"
815,Acknowledgement,"Acknowledgement, Acknowledgements, acknowledgement, propagation Acknowledgement, tocchapterAcknowledgements"
816,C-reversed process,"C-reversed process, T-reversed process, non-reversed mass, reversal process, reversed processes, time-reversed processes"
817,Dirac's solutiontime,"Dirac's solution, Dirac's solutionconstraint, Dirac's solutionnegative, Dirac's solutiontime"
818,Feynman's interpretationtime,"Feynman's interpretationdiscrete, Feynman's interpretationnegative, Feynman's interpretationtime"
819,Main results,"Main results, accurate results, basic result, cavity resulting, decisive results, desired results, key results, mentioned results, obtain results, valuable results, well-known results"
820,Newtonian concept,"Newtonian concept, Newtonian context, Newtonian dynamics, Newtonian limit, Newtonian model, modern concept, photon concept, pseudo-scientific concept, secondary concern"
821,Planck units,"Planck area, Planck areas, Planck energy, Planck length, Planck mass, Planck unit, Planck units, smaller units"
822,Schwarzschild radius,"Schwarzschild, Schwarzschild radius, Schwarzschild radiusblack"
823,Tfermionpolarizationdiscrete,"Tfermionpolarizationdiscrete, Tfermionpolarizationdiscrete symmetry, reversal Tfermionpolarizationdiscrete"
824,abandon,"abandon, abandoned, abandoning, abundant, paradox, random"
825,absolute lopsidedness,"absolute definiteness, absolute lopsidedness, absolute lopsidednessdiscrete, definable lopsidedness, seeabsolute lopsidedness"
826,absolute value,"absolute absence, absolute feature, absolute space, absolute value, absolute values, absolutely null, volume smaller"
827,acceleration inside,"acceleration applies, acceleration despite, acceleration directed, acceleration enables, acceleration inside, acceleration observed, acceleration occurs, acceleration opposite, acceleration-dependent, accelerationdynamic, accelerationinertial, accelerationprinciple, accelerations instead"
828,accelerationdynamic equilibrium,"acceleration-dependent equilibrium, accelerationdynamic equilibrium, referencedynamic equilibrium"
829,accelerationglobal inertial,"accelerationglobal inertial, accelerationlocal inertial, referenceglobal inertial"
830,acknowledge,"acknowledge, acknowledged, actual knowledge, detailed knowledge, knowledge, people's knowledge"
831,actiontime irreversibility,"actiontime irreversibility, conceptiontime irreversibility, descriptiontime irreversibility, directionstime irreversibility, entropytime irreversibility, equationstime irreversibility, motiontime irreversibility, propagationtime irreversibility, transformationtime irreversibility"
832,active gravitational,"action Mgravitational, active gravitational, applied gravitational, attractive gravitational, combined gravitational, defined gravitational, describe gravitational, fluctuating gravitational, modified gravitational, negative gravitational, passive gravitational, positive gravitational, whatever gravitational"
833,actual change,"actual change, actual exchange, actual sphere, actually changes, measurable change, occur changes, real change, systems exchange"
834,actually exist,"actually arise, actually consist, actually exist, actually express, actually limit, actually maximum, actually predict, actually raise, actually results, clearly exist, normally exist, probably exist"
835,actually related,"actually allowed, actually behave, actually correspond, actually developed, actually helped, actually lifted, actually located, actually provided, actually related, actually required, actually respond, causally related, entirely unrelated, naturally related, virtually isolated"
836,actually reverse,"actually gives, actually interfere, actually prevent, actually provide, actually reverse, actually reversing, equally reversed, exceptionally severe, gradually decrease, locally reversed, naturally reversed, naturally reverses"
837,actually valid,"actual void, actually based, actually caused, actually follow, actually valid, actually varies, actually vary, actually voids, appeared valid, generally valid, logically valid, perfectly valid, universally valid, usually fail"
838,aesthetically,"aesthetic, aesthetic motives, aesthetically, appealing aesthetically, asymptotically, author calls, avoided systematically, exists locally, smallest physically, spherically, systematically, theoretically"
839,alternative choice,"alternative approach, alternative arguments, alternative choice, alternative concept, alternative methods, alternative model, alternative viewpoint"
840,antimattertime irreversibility,"antimattertime irreversibility, antiparticlestime irreversibility, coordinatestime irreversibility, singularitytime irreversibility"
841,antiparticle counterpart,"antimatter counterpart, antiparticle counterpart, antiparticlesconstraint, particle counterpart, propagating counterpart"
842,antiparticlesinteraction bosonenergy,"antiparticlesinteraction bosonenergy, antiparticlesinteraction bosontime"
843,anywhere,"anymore, anywhere, anywhere else, elsewhere, everywhere, nowhere, somewhere, unanswered"
844,apparent asymmetry,"apparent asymmetry, apparent empirical, apparent symmetry, apparent validity, fundamental asymmetry, imperfect symmetry, opposite asymmetry, polar asymmetry"
845,apparent change,"apparent absence, apparent change, apparent freedom, apparent problem, apparently based, apparently exerted"
846,apparent possibility,"actual impossibility, apparent classically, apparent difficulties, apparent impossibility, apparent incompatibility, apparent possibility, apparently immobilized, ignored possibility, theoretical possibility"
847,apparently intractable,"apparently betraying, apparently inescapable, apparently insurmountable, apparently intractable"
848,appears clearly,"appear unlikely, appear unnatural, appears clearly, appears highly, appears natural, applies equally, mass clearly, remains clearly"
849,applied separately,"applied differently, applied separately, applied similarly, applies separately, apply separately"
850,approach proposed,"Dirac proposed, approach complies, approach consists, approach described, approach favored, approach proposed"
851,appropriate concept,"appropriate concept, appropriate conception, appropriate conditions, appropriate context, appropriate indices, appropriate notion, appropriate outcome, appropriate technology, appropriately conceived, inappropriate choice, inappropriate concept"
852,appropriate measure,"appropriate basis, appropriate beacons, appropriate behavior, appropriate despite, appropriate measure, appropriate relative, appropriately apply, appropriately assume"
853,arbitrarily defined,"arbitrarily assigned, arbitrarily define, arbitrarily defined, arbitrarily fixed, unambiguously defined"
854,area associated,"area associated, arrow associated, arrows associated, aspects associated, axis associated, charges associated, features associated, holes associated, issues associated, momenta associated, phase associated, process associated, space associated, system associated, values associated"
855,areaBoltzmann's,"Boltzmann's, Planck areaBoltzmann's, areaBoltzmann's"
856,areaBoltzmann's constantquantum,areaBoltzmann's constantquantum
857,arguments related,"argument based, arguments presented, arguments provided, arguments related, issues related"
858,associated gain,"associated creation, associated field, associated gain, associated local, associated merely, associated momenta, associated notion, associated particle, associated quantum, associated space"
859,assumed reversal,"associated reversal, assumed irrelevant, assumed repulsive, assumed reversal, assumed reversed, assumed uniformity, seespace reversal, usual reversal"
860,astronomical objects,"astronomical context, astronomical objects, astronomical observations, astronomical scales"
861,atom,"ago, atom, atomic, atoms, author, com"
862,attributed mutually,"attribute mutually, attributed alternatively, attributed essentially, attributed mutually, distributed uniformly"
863,average energy,"adding energy, average cosmic, average energy, average kinetic, average measures, average quantity, exchange energy, extreme energy, reverses energy"
864,based regarding,"achieved regarding, approach regarding, based regarding, choice regarding, detail regarding, emphasized regarding, issues regarding, mass Regarding, masses regardless, mystery regarding"
865,begins,"beacons, begin, beginner, begins, belief, belong, belonging, belongs, benefits, bosons, regions"
866,bodies accelerating,"bodies accelerate, bodies accelerating, bodies exerting, body's acceleration, distinct accelerations, elevator accelerating, mass accelerating, process accelerating"
867,bodies gravitationally,"bodies gravitationally, bodiesgravitational, exist gravitationally, involving gravitationally, observed gravitationally, sign gravitationally"
868,careful examination,"careful analysis, careful examination, careful investigation, closer examination"
869,causal relationships,"causal relationships, clear relationship, fixed relationships, mapping relationships, material relationships, physical relationships, spatial relationships"
870,causality violating,"causality violating, causality violation"
871,certainly expect,"beautifully perfect, certainly allowed, certainly amazing, certainly appears, certainly expect, certainly unexpected, everything except, normally expect"
872,characterizing elements,"characteristic wavelengths, characterizing elements, characterizing stable-state"
873,charge opposite,"carry opposite, charge inside, charge opposite, charges opposite, circumstances opposite, combine opposite, filled opposite, forbid opposite, forces opposite, share opposite, usually opposite"
874,charges actually,"change clearly, charges actually, charges clearly, charges mutually, charges necessarily, components actually, constraints actually, discussion actually, hole actually, intervals actually, objects actually, observer actually, results actually, signs actually, source actually, theories actually, vacuum actually"
875,charges occurring,"change occurs, changes occur, changes occurring, charge occurring, charges determining, charges missing, charges occurring, charges turning, collapse occurred, systems occurring"
876,chronological ordersecond,"chronological orderconstraint, chronological ordersecond, chronological ordertime"
877,clear distinction,"apparent distinction, arbitrary distinction, basic distinction, binary distinction, clear distinction, clear distinctions, clear indication, clear indicator, crucial distinction, decisive distinction, theory distinctive"
878,clearly recognized,"actually recognizes, authors recognize, authors recognized, clearly analyzed, clearly emphasized, clearly recognized, commonly recognized, generally recognized, mostly unrecognized, usually recognized"
879,clearly shows,"actually shows, carefully thinks, clearly imply, clearly shows, clearly suggests, clearly varies, merely shows"
880,clearly unavoidable,"charge unavoidable, clearly identifiable, clearly inescapable, clearly unavoidable, logically unavoidable, preprint available, totally unacceptable"
881,collapsewormhole instabilitywormhole,collapsewormhole instabilitywormhole
882,combined reversal,"combined reversal, combined reversals, considered reversals, defined reversal, forbidden reversal"
883,combined symmetry,"combined symmetries, combined symmetry, conjugation symmetry, considered symmetry, curved geometry, defined asymmetry, required symmetry"
884,commonly believed,"commonly accepted, commonly believed, currently believed, presently believed"
885,compensating opposite,"compensating amount, compensating change, compensating effects, compensating imbalance, compensating opposite, compensating overdensity"
886,competent,"competent, complement, complete, completely, completeness, component, components, compress, incompetence, mere incompetence"
887,complete rotation,"complete overthrow, complete rotation, complete rotations, complete solution, complete treatise, incomplete formulation, incomplete transformation, radiant rotation"
888,completely describe,"competent researchers, completely definable, completely describe, completely determined, completely negligible, completely specify, currently describe"
889,complicate,"Compliance, communicate, communicates, compliance, complicate, complicated, cosmological"
890,comply,"Secondly, anomaly, commonly, compact, compare, complex, complies, comply, cosmology, mostly, poorly"
891,concept independent,"completely independent, concept dependent, concept independent, contribute independently, convention dependent, energy independent, freedom independent, multiple independent, truly independent"
892,concerning physical,"concerning physical, concerning physics, conserved physical, consistent physical, measuring physical, modern physical, objective physical, studying physics, underlying physical"
893,conclusion drawn,"conclusion applies, conclusion depends, conclusion drawn, conclusion imposes, conclusions drawn"
894,conclusions discussed,"assumptions discussed, circumstances discussed, conclusion discussed, conclusions discussed, developments discussed"
895,conditions provide,"conditions existing, conditions giving, conditions imposed, conditions prevailing, conditions provide, conditions quantities, conditions responsible, constraint provided, correction provided, photons provide"
896,conjugate attribute,"conjugate attribute, conjugate attributes, conjugate metrics, conjugate metricsgeneral, contradictory attributes, currently attribute, normally attribute"
897,conjugate properties,"conjugate properties, conjugate propertiesblack, conjugate propertiesdiscrete, conjugate propertiestime, conjugate quantities, conjugation operation, objective properties"
898,consider spherical,"chosen spherical, consider inertial, consider specific, consider spherical, larger spherical"
899,considered appropriate,"consider appropriate, consider inappropriate, considered appropriate, considered inappropriate, nevertheless appropriate, particularly appropriate"
900,consistency conditions,"consistency condition, consistency conditions, consistency dictates, constraining conditions, continuity seecondition"
901,consistency requirement,"consistency requirement, consistency requirements, continuity requirement"
902,constraint applying,"constraint applying, constraint concerning, constraint described, constraint limiting, constraints applying, context applying"
903,content appears,"Despite appearances, consequently appear, constant appears, content appears, context clearly, density appears, existence appears, horizon appears, longer applies, objects appear, system appears"
904,continuous path,"continuous decay, continuous fashion, continuous flow, continuous medium, continuous network, continuous particle, continuous path, continuous process, continuous spectrum, continuous trajectory, continuous unstoppable, continuously occur, continuously produced"
905,conventional assumptions,"convenient assumption, conventional assumptions, conventional calculations, conventional perception, traditional assumptions, underlying assumptions, unreasonable assumptions"
906,conventional space,"convenient choice, conventional antiparticle, conventional discrete, conventional forward, conventional future, conventional measure, conventional particle, conventional perspective, conventional positive, conventional space, conventional statistical, conventional systems, conventional treatment, conventionally assume, one-dimensional space"
907,conventionconstraint,"conceptionconstraint, conjugation Cconstraint, continuity constraint, continuumconstraint, contributionsconstraint, conventionconstraint, sign conventionconstraint"
908,corresponding term,"corresponding backward, corresponding change, corresponding diagrams, corresponding elementary, corresponding equations, corresponding particles, corresponding reference, corresponding term"
909,couldn't,"Doesn't, Shouldn't, couldn't, couldn't absorb, doesn't, wouldn't"
910,creating negative,"behaving negative, carrying negative, creating negative, creating pairs, creationnegative, decaying negative, growing negative, preexisting negative, providing negative, regarding negative, relativizednegative, releasing negative"
911,creation permanencetime,"creation permanencematter, creation permanencenegative, creation permanencesecond, creation permanencetime"
